"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"19819-14039","P","Addison","Addison Reed","Reed","5.514285714285714","35","5500","NYM@SFG","NYM","SFG","","","",""
"19819-14047","P","Brad","Brad Boxberger","Boxberger","4.592592592592593","27","5500","BAL@TAM","TAM","BAL","DL","Back","",""
"19819-14049","P","Bryan","Bryan Shaw","Shaw","4.972222222222222","36","5500","MIN@CLE","CLE","MIN","","","",""
"19819-52977","P","Ken","Ken Giles","Giles","5.533333333333333","30","5500","HOU@SEA","HOU","SEA","","","",""
"19819-52987","P","Jake","Jake Buchanan","Buchanan","3.2","5","5500","CIN@WAS","CIN","WAS","","","",""
"19819-71421","P","Donnie","Donnie Hart","Hart","3.75","24","5500","BAL@TAM","BAL","TAM","","","",""
"19819-53006","P","David","David Goforth","Goforth","3","1","5500","MIL@ATL","MIL","ATL","","","",""
"19819-14103","P","Nick","Nick Vincent","Vincent","5","30","5500","HOU@SEA","SEA","HOU","","","",""
"19819-53017","P","Sammy","Sammy Solis","Solis","1.6666666666666667","6","5500","CIN@WAS","WAS","CIN","DL","Elbow","",""
"19819-53021","P","Nick","Nick Wittgren","Wittgren","6.44","25","5500","CHC@MIA","MIA","CHC","","","",""
"19819-53025","P","Logan","Logan Verrett","Verrett","14","4","5500","BAL@TAM","BAL","TAM","","","",""
"19819-5935","P","Casey","Casey Fien","Fien","1.5","10","5500","PHI@ARI","PHI","ARI","","","",""
"19819-53045","P","Scott","Scott Oberg","Oberg","4","33","5500","COL@LOS","COL","LOS","","","",""
"19819-53048","P","Cam","Cam Bedrosian","Bedrosian","8.222222222222221","9","5500","LAA@BOS","LAA","BOS","","","",""
"19819-14143","P","Jared","Jared Hughes","Hughes","4.3125","32","5500","MIL@ATL","MIL","ATL","","","",""
"19819-5967","P","Jason","Jason Grilli","Grilli","3.8","25","5500","TOR@KAN","TOR","KAN","","","",""
"19819-63351","P","Ryan","Ryan O'Rourke","O'Rourke","4.384615384615385","26","5500","MIN@CLE","MIN","CLE","DL","Elbow","",""
"19819-6010","P","Kyle","Kyle Kendrick","Kendrick","-1","2","5500","LAA@BOS","BOS","LAA","","","",""
"19819-73601","P","Vicente","Vicente Campos","Campos","23","1","5500","LAA@BOS","LAA","BOS","DTD","Elbow","",""
"19819-6018","P","Wade","Wade LeBlanc","LeBlanc","6.482758620689655","29","5500","PIT@STL","PIT","STL","","","",""
"19819-12180","P","Blake","Blake Wood","Wood","5.387096774193548","31","5500","CIN@WAS","CIN","WAS","","","",""
"19819-6052","P","Dustin","Dustin McGowan","McGowan","7.222222222222222","27","5500","CHC@MIA","MIA","CHC","","","",""
"19819-6054","P","Mark","Mark Melancon","Melancon","4","20","5500","NYM@SFG","SFG","NYM","","","",""
"19819-12198","P","Drew","Drew Storen","Storen","4.806451612903226","31","5500","CIN@WAS","CIN","WAS","","","",""
"19819-6057","P","Andrew","Andrew Miller","Miller","8.606060606060606","33","5500","MIN@CLE","CLE","MIN","","","",""
"19819-6067","P","Brandon","Brandon Morrow","Morrow","10","6","5500","COL@LOS","LOS","COL","","","",""
"19819-6081","P","Pat","Pat Neshek","Neshek","5.387096774193548","31","5500","PHI@ARI","PHI","ARI","","","",""
"19819-79825","P","Sal","Sal Romano","Romano","9","1","5500","CIN@WAS","CIN","WAS","","","",""
"19819-71636","P","Koda","Koda Glover","Glover","3.3043478260869565","23","5500","CIN@WAS","WAS","CIN","DL","Back","",""
"19819-6107","P","Glen","Glen Perkins","Perkins","4.5","2","5500","MIN@CLE","MIN","CLE","DL","Shoulder","",""
"19819-12256","P","Fernando","Fernando Salas","Salas","3.9166666666666665","36","5500","NYM@SFG","NYM","SFG","","","",""
"19819-12257","P","Adam","Adam Ottavino","Ottavino","5.413793103448276","29","5500","COL@LOS","COL","LOS","","","",""
"19819-79848","P","Paul","Paul Sewald","Sewald","6.2727272727272725","22","5500","NYM@SFG","NYM","SFG","","","",""
"19819-79124","P","Joe","Joe Jimenez","Jimenez","2","5","5300","DET@SDP","DET","SDP","","","",""
"19819-12948","OF","Bryce","Bryce Harper","Harper","14.76769268329327","65","4800","CIN@WAS","WAS","CIN","","","",""
"19819-12968","1B","Paul","Paul Goldschmidt","Goldschmidt","15.947944536601028","73","4800","PHI@ARI","ARI","PHI","","","",""
"19819-21769","P","Preston","Preston Claiborne","Claiborne","0","0","4600","TEX@NYY","TEX","NYY","","","",""
"19819-12940","1B","Anthony","Anthony Rizzo","Rizzo","12.82638888888889","72","4500","CHC@MIA","CHC","MIA","","","",""
"19819-38976","3B","Jose","Jose Ramirez","Ramirez","11.94857177734375","70","4300","MIN@CLE","CLE","MIN","","","",""
"19819-60643","OF","Aaron","Aaron Judge","Judge","16.22205846449908","68","4300","TEX@NYY","NYY","TEX","","","",""
"19819-5763","OF","Nelson","Nelson Cruz","Cruz","11.622535383197624","71","4300","HOU@SEA","SEA","HOU","","","",""
"19819-38614","SS","Carlos","Carlos Correa","Correa","12.449253366954292","67","4300","HOU@SEA","HOU","SEA","","","",""
"19819-65881","SS","Trea","Trea Turner","Turner","12.73442602939293","61","4200","CIN@WAS","WAS","CIN","","","",""
"19819-16950","3B","Miguel","Miguel Sano","Sano","12.845454360499527","66","4200","MIN@CLE","MIN","CLE","","","",""
"19819-16983","OF","George","George Springer","Springer","12.982352761661305","68","4200","HOU@SEA","HOU","SEA","DTD","Hand","",""
"19819-79159","1B","Cody","Cody Bellinger","Bellinger","14.998148600260416","54","4200","COL@LOS","LOS","COL","","","",""
"19819-13719","3B","Nolan","Nolan Arenado","Arenado","12.6386669921875","75","4200","COL@LOS","COL","LOS","","","",""
"19819-13229","OF","Charlie","Charlie Blackmon","Blackmon","14.248648978568411","74","4100","COL@LOS","COL","LOS","","","",""
"19819-5062","1B","Ryan","Ryan Zimmerman","Zimmerman","13.83230731670673","65","4100","CIN@WAS","WAS","CIN","","","",""
"19819-5094","2B","Daniel","Daniel Murphy","Murphy","13.013636733546402","66","4100","CIN@WAS","WAS","CIN","","","",""
"19819-38074","OF","Corey","Corey Dickerson","Dickerson","12.370000348772322","70","4100","BAL@TAM","TAM","BAL","","","",""
"19819-38412","SS","Corey","Corey Seager","Seager","11.955555386013454","72","4100","COL@LOS","LOS","COL","","","",""
"19819-12302","OF","Giancarlo","Giancarlo Stanton","Stanton","11.904285539899554","70","4000","CHC@MIA","MIA","CHC","","","",""
"19819-14562","2B","Jose","Jose Altuve","Altuve","12.116667005750868","72","4000","HOU@SEA","HOU","SEA","","","",""
"19819-13152","1B","Matt","Matt Carpenter","Carpenter","11.240298143073694","67","4000","PIT@STL","STL","PIT","","","",""
"19819-13540","OF","J.D.","J.D. Martinez","Martinez","13.292105423776727","38","4000","DET@SDP","DET","SDP","","","",""
"19819-17086","OF","Marcell","Marcell Ozuna","Ozuna","12.750704053422096","71","3900","CHC@MIA","MIA","CHC","","","",""
"19819-37982","SS","Xander","Xander Bogaerts","Bogaerts","11.180882173426012","68","3900","LAA@BOS","BOS","LAA","","","",""
"19819-38196","3B","Jake","Jake Lamb","Lamb","13.615942028985508","69","3900","PHI@ARI","ARI","PHI","","","",""
"19819-5434","OF","Ryan","Ryan Braun","Braun","11.843332926432291","30","3900","MIL@ATL","MIL","ATL","DL","Calf","",""
"19819-5456","OF","Andrew","Andrew McCutchen","McCutchen","11.319718481789172","71","3900","PIT@STL","PIT","STL","","","",""
"19819-38249","OF","Steven","Steven Souza Jr.","Souza Jr.","11.75217426687047","69","3900","BAL@TAM","TAM","BAL","","","",""
"19819-5488","1B","Joey","Joey Votto","Votto","13.871831329775528","71","3900","CIN@WAS","CIN","WAS","","","",""
"19819-5562","1B","Edwin","Edwin Encarnacion","Encarnacion","11.547825910043025","69","3900","MIN@CLE","CLE","MIN","","","",""
"19819-14038","OF","Khris","Khris Davis","Davis","11.26197148712588","71","3900","OAK@CWS","OAK","CWS","","","",""
"19819-6312","3B","Justin","Justin Turner","Turner","11.41800048828125","50","3800","COL@LOS","LOS","COL","","","",""
"19819-39151","OF","Mookie","Mookie Betts","Betts","12.507246376811594","69","3800","LAA@BOS","BOS","LAA","","","",""
"19819-52147","3B","Kris","Kris Bryant","Bryant","12.363767762115037","69","3800","CHC@MIA","CHC","MIA","","","",""
"19819-5118","1B","Miguel","Miguel Cabrera","Cabrera","10.189830715373411","59","3800","DET@SDP","DET","SDP","","","",""
"19819-11443","1B","Justin","Justin Smoak","Smoak","11.395774304027288","71","3800","TOR@KAN","TOR","KAN","","","",""
"19819-5564","OF","Jose","Jose Bautista","Bautista","10.17361111111111","72","3800","TOR@KAN","TOR","KAN","","","",""
"19819-12113","3B","Josh","Josh Donaldson","Donaldson","11.396773799773186","31","3800","TOR@KAN","TOR","KAN","DTD","Knee","",""
"19819-49523","1B","Jose","Jose Abreu","Abreu","11.567143031529017","70","3700","OAK@CWS","CWS","OAK","","","",""
"19819-16964","OF","Yoenis","Yoenis Cespedes","Cespedes","11.17999979654948","30","3700","NYM@SFG","NYM","SFG","","","",""
"19819-12931","1B","Wil","Wil Myers","Myers","11.054929921324824","71","3700","DET@SDP","SDP","DET","","","",""
"19819-12970","OF","A.J.","A.J. Pollock","Pollock","11.478378708298141","37","3700","PHI@ARI","ARI","PHI","DL","Groin","",""
"19819-5211","OF","Carlos","Carlos Gomez","Gomez","12.093181263316762","44","3700","TEX@NYY","TEX","NYY","","","",""
"19819-5222","OF","Shin-soo","Shin-soo Choo","Choo","11.447619241381448","63","3700","TEX@NYY","TEX","NYY","","","",""
"19819-5279","1B","Kendrys","Kendrys Morales","Morales","10.436764885397519","68","3700","TOR@KAN","TOR","KAN","","","",""
"19819-60642","OF","Michael","Michael Conforto","Conforto","11.696969696969697","66","3700","NYM@SFG","NYM","SFG","","","",""
"19819-6197","OF","Justin","Justin Upton","Upton","11.653622834578805","69","3600","DET@SDP","DET","SDP","","","",""
"19819-6273","OF","Michael","Michael Brantley","Brantley","10.125925699869791","54","3600","MIN@CLE","CLE","MIN","DL","Ankle","",""
"19819-12458","1B","Logan","Logan Morrison","Morrison","11.880281690140846","71","3600","BAL@TAM","TAM","BAL","","","",""
"19819-16951","3B","Anthony","Anthony Rendon","Rendon","11.762121027166193","66","3600","CIN@WAS","WAS","CIN","","","",""
"19819-16952","SS","Francisco","Francisco Lindor","Lindor","10.926087310348732","69","3600","MIN@CLE","CLE","MIN","","","",""
"19819-12985","OF","Avisail","Avisail Garcia","Garcia","11.789855072463768","69","3600","OAK@CWS","CWS","OAK","","","",""
"19819-21609","OF","Christian","Christian Yelich","Yelich","10.46376811594203","69","3600","CHC@MIA","MIA","CHC","","","",""
"19819-73159","OF","Mitch","Mitch Haniger","Haniger","14.396875381469727","32","3600","HOU@SEA","SEA","HOU","","","",""
"19819-5832","3B","Adrian","Adrian Beltre","Beltre","11.410526476408306","19","3600","TEX@NYY","TEX","NYY","","","",""
"19819-5857","OF","Jay","Jay Bruce","Bruce","12.120588414809284","68","3600","NYM@SFG","NYM","SFG","","","",""
"19819-6047","OF","Cameron","Cameron Maybin","Maybin","12.905357360839844","56","3600","LAA@BOS","LAA","BOS","","","",""
"19819-12434","OF","Lorenzo","Lorenzo Cain","Cain","10.960869388303895","69","3500","TOR@KAN","KAN","TOR","","","",""
"19819-12585","OF","Mark","Mark Trumbo","Trumbo","9.434722052680122","72","3500","BAL@TAM","BAL","TAM","","","",""
"19819-53586","OF","David","David Peralta","Peralta","10.312698606460813","63","3500","PHI@ARI","ARI","PHI","","","",""
"19819-16945","C","Gary","Gary Sanchez","Sanchez","13.03255870730378","43","3500","TEX@NYY","NYY","TEX","","","",""
"19819-16947","2B","Jonathan","Jonathan Schoop","Schoop","10.928571428571429","70","3500","BAL@TAM","BAL","TAM","","","",""
"19819-70435","OF","Ben","Ben Gamel","Gamel","10.98846200796274","52","3500","HOU@SEA","SEA","HOU","","","",""
"19819-13188","SS","Jean","Jean Segura","Segura","11.564444986979167","45","3500","HOU@SEA","SEA","HOU","","","",""
"19819-68495","OF","Andrew","Andrew Benintendi","Benintendi","10.74925391353778","67","3500","LAA@BOS","BOS","LAA","","","",""
"19819-11322","3B","Mike","Mike Moustakas","Moustakas","11.4","65","3500","TOR@KAN","KAN","TOR","","","",""
"19819-5206","1B","Joe","Joe Mauer","Mauer","8.896721511590677","61","3500","MIN@CLE","MIN","CLE","","","",""
"19819-70898","OF","Adam","Adam Frazier","Frazier","9.75576899601863","52","3500","PIT@STL","PIT","STL","","","",""
